Unnamed: 0,id,rating,rating_sd,rating_se,dataset,chord_size,name,chord_nro,genre,register,pitchlow,pitchhigh,pitchrange,gill_09_harmonicity,har_18_harmonicity,milne_13_harmonicity,parn_88_root_ambig,parn_94_complex,stolz_15_periodicity,bowl_18_min_freq_dist,hutch_78_roughness,seth_93_roughness,vass_01_roughness,wang_13_roughness,jl_12_tonal,har_19_corpus,har_19_composite,sharpness,sproll,spflux,keyclar,spcentr,spirreg,Forte,neg_log_prob,CorpPop,CorpJazz,CorpClas,TDL,TDL1,register_N,midi,pc,r3_roughness,r3_sethares_dissonance,r3_helmholtz_kang,r3_stumpf_fusion,r3_sensory_pleasantness,r3_inharmonicity,r3_harmonic_deviation
100,te87c,5.30174825174825,0.894,0.163,bowl18,4,suspended 2nd + M6,,,60,55,64,9,0.12962962962963,0.907772360666524,0.672732400497647,2.22287572090485,0.162270071242917,-4.37744375108173,24.0022820091254,0.360797408090282,1.78620282627455,4.22404419765523,1.04056976515402,4,3.38557005074645,0.904182340548928,0.774353,991.2,5.66497,0.805585,0.726383,0.735755,4-23,8.97748579111647,4.54785696140397,5.96660221624384,8.97748579111647,1,1,6.14285714285714,55-57-62-64,0-2-7-9,0.5078169107437134,0.8182231187820435,0.33552220463752747,0.32176661491394043,0.23777277767658234,0.6782333254814148,0.42516979575157166
101,te181c,5.30174825174825,0.77,0.141,bowl18,4,te181c,,,60,53,64,11,0.032037037037037,0.712418541856751,0.617308583056919,2.16024689946929,0.0925254721394552,-4.26920389926271,35.9627889954623,0.400437128488524,1.90850066174262,4.15039739629947,1.16320562153381,1,1.0,0.244870737739713,0.809352,1051.43,6.7723,0.753443,0.734037,0.558103,4-29B,8.97748579111647,8.23673641551791,11.3579544487591,8.97748579111647,1,1,6.14285714285714,53-58-62-64,0-5-9-11,0.5717273950576782,0.8846666812896729,0.4159379303455353,0.2759220004081726,0.17956876754760742,0.7240780591964722,0.4121606647968292
102,te49c,5.1979020979021,0.964,0.176,bowl18,4,te49c,,,58,54,66,12,0.0777777777777778,0.898206959300817,0.709916008353518,2.04939015319192,0.257030055574682,-3.90689059560852,11.0005066350574,0.412894734551859,1.31041255304234,2.78539021945922,0.917472689273055,3,1.0,0.555378482229609,0.773107,928.619,11.3011,0.564793,0.690359,0.340394,3-4B,8.97748579111647,11.1811753946843,12.051101629319,8.97748579111647,1,1,3.57142857142857,54-55-62-66,0-1-8-12,0.5221836566925049,0.6625688672065735,0.5602656006813049,0.21018759906291962,0.28653374314308167,0.789812445640564,0.5854824781417847
103,te65c,5.1979020979021,0.718,0.131,bowl18,4,te65c,,,60,57,62,5,0.0155787037037037,0.751393406647986,0.640955610125411,2.36643191323985,0.0170508149978319,-4.87744375108173,16.4821369405355,0.640287472085926,2.49521904209484,6.42252582199757,1.37929342201081,3,1.0,-0.0743169969260444,0.779744,1102.9,9.17034,0.661948,0.716381,0.534283,4-11B,8.97748579111647,11.1811753946843,12.051101629319,8.97748579111647,1,1,6.14285714285714,57-59-61-62,0-2-4-5,0.799837052822113,0.9580082297325134,0.3907807469367981,0.19289159774780273,0.10235167294740677,0.8071084022521973,0.3638370633125305
104,te88c,5.1979020979021,0.85,0.155,bowl18,4,suspended 2nd + m7,,,60,55,65,10,0.140740740740741,0.851740027175046,0.675052507383902,2.16024689946929,0.123303714956291,-5.03840779852542,24.0022820091254,0.356915327887022,1.80937469411961,4.16324775980371,1.05289987422287,3,5.60887389773921,1.04129128948331,0.756437,883.198,8.31498,0.739228,0.659176,0.389154,4-22B,8.97748579111647,5.52518358386449,9.85387705198279,8.97748579111647,1,1,6.14285714285714,55-57-62-65,0-2-7-10,0.6525108814239502,0.892005980014801,0.41023707389831543,0.32837507128715515,0.1961464285850525,0.6716248989105225,0.3932901620864868
105,te129c,5.1979020979021,0.765,0.14,bowl18,4,te129c,,,60,54,65,11,0.0328571428571429,0.731509773320763,0.620325482817263,2.16024689946929,0.063177325529963,-5.1524101186092,35.0027886441828,0.377308973566869,1.88980114672914,4.17647167851763,1.02835011827902,7,1.0,0.316319519982863,0.776915,954.19,11.2303,0.491183,0.701424,0.649308,4-17,8.97748579111647,7.5176137485547,10.9524893406509,8.97748579111647,2,0,6.14285714285714,54-57-62-65,0-3-8-11,0.7220916748046875,0.8858792781829834,0.4857866168022156,0.30826008319854736,0.19177651405334473,0.6917398571968079,0.44278568029403687
106,te158c,5.1979020979021,0.718,0.131,bowl18,4,augmented triad + oct,,,59,53,65,12,0.105,0.863664232550099,0.614699522067638,2.20139815711603,0.316888622398852,-4.32192809488736,45.3858842834981,0.201128034468322,1.35676244741954,2.95234248957119,0.894817869559059,7,4.17395806884735,1.16609389799227,0.756387,1051.09,5.2378,0.573671,0.674027,1.06834,3-12,5.63569907288043,7.5176137485547,8.20095402760895,5.63569907288043,2,0,4.85714285714286,53-57-61-65,0-4-8-12,0.4421846270561218,0.7348230481147766,0.5247094035148621,0.3754146695137024,0.30927202105522156,0.6245853304862976,0.5374085903167725
107,tr15c,5.1968531479021,0.6149479,0.112273612,bowl18,3,tr15c,,,59,57,63,6,0.0122222222222222,0.802289788464618,0.631533057415607,2.04939015319192,0.286636505807349,-4.09973600612909,26.9416506280621,0.306348767144523,1.10828660232013,2.75843457694801,0.921574477233304,3,1.0,0.557258803805237,0.788567,1103.91,5.14335,0.534624,0.762892,0.597454,3-8A,8.97748579111647,11.1811753946843,12.051101629319,8.97748579111647,1,1,4.85714285714286,57-59-63,0-2-6,0.5699576139450073,0.8326738476753235,0.5294412970542908,0.35958415269851685,0.2442293018102646,0.6404158473014832,0.450293630361557
108,tr24c,5.1968531479021,0.718395402,0.131160456,bowl18,3,dimished triad (r),,,60,57,63,6,0.0888888888888889,0.727581329514965,0.587538205311478,2.50998007960223,0.130298006989744,-3.78603390248028,41.6255653005986,0.229737007977609,1.09842138004683,2.80730711266278,0.928225303109666,3,5.39321941461327,1.00396543233948,0.813041,1250.27,3.64366,0.516556,0.83859,0.311865,3-10,4.64377597831346,5.91848520577946,7.57376481484081,4.64377597831346,1,1,6.14285714285714,57-60-63,0-3-6,0.5123522877693176,0.7943975329399109,0.593574583530426,0.3813888728618622,0.27591702342033386,0.6186111569404602,0.45199862122535706
109,tr43c,5.1968531479021,0.668675135,0.122082818,bowl18,3,tr43c,,,59,54,64,10,0.0371428571428571,1.05597977834256,0.763252924065916,1.98431348329844,0.227263525592493,-3.41558019949771,61.9444392722449,0.162151319682148,0.836296072690696,1.8483337945685,0.724262221497475,4,4.71482082989417,1.62763020225417,0.789419,1114.68,4.83885,0.821718,0.745491,0.693303,3-9,8.97748579111647,4.09193223965683,9.97166008763918,8.97748579111647,1,1,4.85714285714286,54-59-64,0-5-10,0.32466551661491394,0.6041935086250305,0.4325697422027588,0.2962033450603485,0.3559652864933014,0.7037966251373291,0.3834388554096222
